susi_detail,description,start_date,end_date
2020학년도 서울대학교 지역균형선발전형 (국어국문학과 외) 외,지원서 접수,2019-09-06 01:00:00+00:00,2019-09-08 09:00:00+00:00
2020학년도 서울대학교 지역균형선발전형 (국어국문학과 외) 외,자기소개서 및 추천서 입력,2019-09-06 01:00:00+00:00,2019-09-09 09:00:00+00:00
2020학년도 서울대학교 지역균형선발전형 (국어국문학과 외) 외,서류제출(해당자),2019-09-06 01:00:00+00:00,2019-09-09 09:00:00+00:00
2020학년도 서울대학교 지역균형선발전형 (국어국문학과 외) 외,학교장 추천 공문 제출,2019-09-06 01:00:00+00:00,2019-09-09 09:00:00+00:00
2020학년도 서울대학교 일반전형 (국어국문학과 외) 외,1단계 합격자 발표,2019-11-15 09:00:00+00:00,2019-11-15 09:00:00+00:00
2020학년도 서울대학교 일반전형 (국어국문학과 외) 외,2단계 전형료 납부,2019-11-18 01:00:00+00:00,2019-11-19 09:00:00+00:00
2020학년도 서울대학교 지역균형선발전형 (국어국문학과 외) 외,면접,2019-11-28 15:00:00+00:00,2019-11-28 15:00:00+00:00
2020학년도 서울대학교 지역균형선발전형 (수의예과 외) 외,면접,2019-11-29 15:00:00+00:00,2019-11-29 15:00:00+00:00
2020학년도 서울대학교 일반전형 (국어국문학과 외) 외,면접,2019-11-21 15:00:00+00:00,2019-11-21 15:00:00+00:00
2020학년도 서울대학교 일반전형 (수의예과 외) 외,면접,2019-11-22 15:00:00+00:00,2019-11-22 15:00:00+00:00
2020학년도 서울대학교 지역균형선발전형 (국어국문학과 외) 외,합격자 발표,2019-12-10 09:00:00+00:00,2019-12-10 09:00:00+00:00
2020학년도 서울대학교 지역균형선발전형 (국어국문학과 외) 외,합격자 등록,2019-12-11 00:00:00+00:00,2019-12-13 07:00:00+00:00
2020학년도 서울대학교 지역균형선발전형 (국어국문학과 외) 외,충원 합격자 발표,2019-12-16 05:00:00+00:00,2019-12-16 05:00:00+00:00
2020학년도 서울대학교 지역균형선발전형 (국어국문학과 외) 외,충원 합격자 등록,2019-12-17 00:00:00+00:00,2019-12-20 07:00:00+00:00
